epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,9633.07,0.73964,1.116,1.22089,0.85043,0.83148,0.89617,0.76564,0.57967,0.65439,1.13238,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,9846.94,0.73995,1.10009,1.22073,0.87463,0.83658,0.9139,0.78152,0.57446,0.63124,1.12513,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,10065.2,0.73789,1.09261,1.21674,0.8384,0.85155,0.91424,0.78034,0.56212,0.62226,1.1078,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,10282.5,0.73157,1.07428,1.20904,0.85844,0.84946,0.91552,0.78654,0.56236,0.60948,1.11837,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,10499.4,0.72721,1.05748,1.20695,0.86078,0.85612,0.91866,0.7859,0.56223,0.60878,1.1104,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,10717.3,0.72758,1.04462,1.20771,0.84331,0.85579,0.91563,0.78563,0.57293,0.6057,1.12009,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,10938.8,0.72626,1.03788,1.20907,0.86562,0.85454,0.91399,0.78642,0.56611,0.58742,1.12228,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,11152.8,0.71945,1.0143,1.19985,0.89093,0.83578,0.9167,0.78941,0.56304,0.57693,1.11504,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,11367.6,0.72142,1.01518,1.20132,0.87883,0.8531,0.91988,0.78825,0.56115,0.58117,1.11254,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,11590,0.71484,0.99564,1.19625,0.85464,0.85996,0.91633,0.78699,0.55626,0.56877,1.11228,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,11806.4,0.71544,0.9882,1.19718,0.87361,0.85821,0.92145,0.79254,0.56004,0.57612,1.11194,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,12020.4,0.71678,0.98275,1.19663,0.89719,0.85002,0.91971,0.78707,0.5549,0.57871,1.10655,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,12235.9,0.71869,0.97768,1.19942,0.89387,0.85512,0.92197,0.79166,0.56483,0.56616,1.11866,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,12451.4,0.71674,0.96811,1.19581,0.88517,0.85544,0.92258,0.7977,0.55812,0.55606,1.10489,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,12667.4,0.70903,0.9516,1.1915,0.87362,0.8705,0.92366,0.79609,0.55711,0.54606,1.10716,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,12882,0.70852,0.94978,1.19154,0.8796,0.86136,0.92065,0.79407,0.55537,0.5521,1.10486,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,13096.8,0.70085,0.92682,1.18309,0.87917,0.86525,0.92533,0.80107,0.55206,0.54523,1.09693,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
